"Your session has expired, please login.","Votre session a expiré, veuillez vous reconnecter."
"Your username or credential is invalid, please check your input.","Votre nom d'utilisateur ou votre mot de passe n'est pas valide, veuillez vérifier votre saisie."
"No such user.","Cet utilisateur n'existe pas."
"You were banned, please contact admin for more information.","Vous ont été banni, veuillez contacter l'admin pour plus d'informations."
"You have 1 unread message.","Vous avez 1 message non lu."
"You have %1$d unread messages.","Vous avez %1$d messages non lus."
"You have ""%1$d"" unread messages.","Vous avez ""%1$d"" messages non lus."
